,game1,game2
457,1556,2978
458,1557,2634
459,1558,3050
460,1559,2683
461,1560,2473
462,1561,2570
463,1562,2619
464,1563,2686
465,1564,2292
466,1565,2310
467,1566,3317
468,1567,2620
469,1568,2698
470,1569,2965
471,1570,2781
472,1571,3145
473,1572,2704
474,1575,2813
475,1576,2716
476,1577,3445
477,1579,3001
479,1581,2031
480,1582,2125
483,1587,2755
484,1590,2741
485,1591,2724
486,1592,2919
488,1597,2549
489,1598,2612
490,1599,3212
491,1600,2799
492,1601,3014
493,1602,3042
494,1603,2609
495,1604,2116
496,1605,2735
497,1606,2733
498,1607,3240
499,1608,2742
500,1609,2840
501,1610,2873
502,1611,2721
504,1613,3022
506,1615,2715
507,1616,2482
508,1617,2752
509,1618,3264
510,1619,3143
511,1620,2983
512,1621,2577
513,1622,2777
514,1624,2762
515,1625,2764
517,1627,2885
518,1630,2026
519,1631,2876
520,1632,2761
522,1634,2889
524,1636,3133
525,1637,2437
526,1638,2911
527,1639,2912
528,1640,2999
529,1641,2790
530,1642,2868
531,1643,2791
532,1644,2935
533,1645,2700
534,1646,3427
535,1647,2258
536,1649,2998
537,1650,2775
538,1652,2921
539,1653,2940
540,1655,2804
541,1656,2947
542,1657,2897
543,1658,2943
544,1659,2953
545,1660,2623
546,1661,2901
547,1662,3067
548,1663,3315
549,1664,2857
550,1665,2988
551,1666,2973
552,1667,2974
553,1668,2975
554,1669,2767
555,1670,2977
558,1673,3259
559,1675,3096
560,1676,2891
561,1677,2436
563,1679,2898
564,1680,3082
565,1681,3454
566,1684,2908
567,1685,2260
568,1686,2848
569,1687,2829
570,1689,2917
571,1690,2934
572,1691,2920
573,1692,2641
574,1693,2855
575,1694,3049
576,1695,2513
577,1696,2826
578,1697,2933
580,1699,2272
581,1700,2561
582,1701,2949
583,1702,3510
584,1703,3115
585,1704,2852
586,1705,2281
587,1706,3520
588,1707,2991
589,1708,3155
590,1709,3527
591,1710,2858
592,1711,2504
594,1713,2981
595,1714,2879
596,1715,2687
597,1717,2574
598,1718,2696
599,1719,2332
600,1721,3673
601,1722,2865
602,1723,2297
603,1724,3319
604,1725,1864
605,1727,2941
606,1728,2958
607,1729,2946
608,1730,2985
609,1732,2963
610,1733,2877
611,1734,3534
612,1735,2817
613,1736,2969
614,1737,2492
615,1738,3165
616,1739,2922
617,1740,2884
618,1741,2758
619,1742,2887
620,1743,2579
621,1744,2890
622,1745,2818
623,1746,2892
624,1747,2893
625,1748,3174
626,1749,3093
627,1750,2896
628,1751,2636
629,1752,2034
630,1753,3059
631,1755,3062
632,1756,2967
633,1757,3057
634,1758,3501
635,1759,2936
636,1760,3183
637,1761,2904
639,1763,3066
640,1764,2907
641,1765,2824
642,1766,2909
643,1767,2910
644,1768,3047
645,1769,3107
646,1770,3434
647,1771,2980
648,1772,3055
649,1773,2932
650,1774,3300
651,1775,2831
652,1777,2906
653,1778,2650
654,1780,2833
655,1781,3204
656,1782,2834
657,1783,3210
658,1784,2926
659,1785,3068
660,1787,2929
661,1788,2550
662,1789,3486
663,1790,2938
664,1791,2839
665,1792,2796
666,1793,3072
667,1794,2842
668,1795,2951
669,1796,2939
670,1797,3024
671,1799,2841
672,1800,2827
673,1801,2559
674,1802,2976
675,1803,2843
676,1804,3276
677,1805,2655
678,1806,2846
679,1807,2847
680,1808,2562
681,1810,2850
682,1811,2955
683,1812,3081
684,1813,3249
685,1814,3396
686,1815,2699
687,1816,2957
688,1817,3316
689,1818,3433
690,1819,2566
691,1820,3085
692,1821,2419
693,1823,2567
694,1824,2568
695,1825,3052
696,1826,3254
697,1827,3087
699,1829,3100
700,1830,2002
701,1831,2682
702,1832,2838
703,1833,2685
704,1835,2859
705,1836,3244
706,1837,2854
707,1840,2476
708,1841,3038
709,1842,2987
710,1843,2845
711,1844,2994
712,1845,3039
713,1846,2013
714,1847,2948
715,1848,3272
716,1849,2880
717,1850,2606
719,1854,2285
720,1855,3086
721,1856,3306
722,1857,3002
723,1858,3003
724,1860,2749
725,1861,2149
726,1862,2894
728,1865,3295
729,1866,1966
730,1867,2989
731,1868,3029
732,1870,3017
733,1871,3019
734,1873,3303
735,1875,2766
736,1876,2931
737,1877,2377
738,1879,3307
739,1883,3026
740,1884,3007
741,1885,2183
742,1886,3236
743,1887,2640
744,1889,3386
745,1890,2365
746,1892,3089
747,1893,2701
748,1333,1894
749,1895,3036
750,1897,2990
751,1898,3104
752,1899,3011
753,1902,3041
754,1903,3314
757,1906,3056
758,1907,2768
759,1912,3139
760,1914,3158
761,1915,2073
762,1916,3281
763,1917,3094
764,1918,2494
766,1920,3177
767,1921,3195
768,1922,3106
769,1923,3192
770,1924,3274
772,1926,3231
774,1928,2806
775,1929,3071
776,1930,3169
777,1931,3202
778,1932,3367
779,1933,3207
780,1934,3253
781,1935,3074
782,1936,2783
783,1938,3722
784,1939,3078
785,1940,2805
788,1944,3241
789,1945,3246
790,1946,2411
791,1948,2615
792,1950,3255
793,1951,3058
794,1952,3263
796,1955,3270
797,1956,2881
798,1958,3164
799,1959,3370
800,1960,3409
801,1961,2723
803,1965,2930
805,1967,3243
806,1968,3131
807,1969,3167
808,1970,3110
809,1971,3379
810,1972,3228
812,1974,2923
813,1975,2924
814,1976,3237
816,1978,3119
817,1979,3120
818,1980,3282
820,1983,3222
821,1984,3153
822,1985,3163
823,1986,3162
824,1987,3235
825,1988,3239
826,1989,2964
827,1990,3009
828,1991,3109
829,1992,2810
830,1993,2516
831,1994,2966
832,1995,2903
833,1996,3406
834,1997,2276
835,1998,3090
836,1999,3140
837,2001,3141
839,2003,3452
840,2005,2692
841,2006,2825
842,2007,2995
843,2008,2821
844,2009,3349
845,2010,2350
846,2011,3217
847,2012,3216
849,2014,2614
850,2015,3160
851,2017,3125
852,2018,3126
855,2021,3338
856,2022,3098
857,2023,3292
858,2024,2886
859,2025,3371
861,2027,3170
862,2028,3536
863,2029,3220
864,2030,2486
866,2032,3214
869,2036,3010
870,2037,2497
871,2038,3348
872,2039,3233
873,2040,3343
874,2041,3182
875,2043,3337
876,2044,3191
877,2045,3346
878,2046,3108
879,2047,3159
880,2048,3193
881,2049,3157
882,2050,3196
883,2051,3448
884,2052,3275
885,2053,3095
886,2054,3199
888,2056,3064
889,2057,3200
890,2058,3230
891,2060,3116
892,2063,3206
893,2064,3351
894,2066,3209
895,2067,2509
896,2068,2453
897,2070,2368
898,2071,3118
899,2072,2369
901,2074,3166
902,2075,3364
903,2077,3150
904,2078,2707
905,2079,3219
906,2080,2653
907,2081,2678
908,2082,3023
909,2083,3242
910,2084,3213
911,2085,3152
913,2087,3146
914,2088,3111
915,2089,3121
916,2090,3124
917,2091,3232
919,2094,3030
920,2095,3515
921,2096,3359
922,2097,2343
923,2098,3132
924,2099,3519
925,2100,2863
926,2101,2729
927,2102,3248
928,2103,2334
929,2104,2753
930,2105,3712
931,2106,2402
932,2107,3187
933,2108,3128
934,2109,3334
935,2110,3360
936,2111,3362
937,2112,3256
938,2113,2744
940,2115,2814
942,2117,3500
943,2118,3033
944,2119,2290
945,2120,3097
946,2121,3535
947,2122,3260
949,2124,3261
951,2126,3368
952,2127,2421
953,2128,3184
954,2129,3267
955,2130,3151
956,2131,2405
958,2134,2756
959,2135,3376
960,2136,3734
961,2137,3112
962,2140,3383
963,2141,3361
964,2143,2714
965,2144,3284
966,2145,3040
967,2147,2819
972,2153,3101
973,2154,3294
975,2156,3301
976,2157,2915
977,2158,3474
978,2159,3302
981,2162,2795
982,2163,3283
983,2164,2736
984,2165,3308
985,2166,2326
988,2171,3398
989,2172,2671
990,2173,3313
991,2175,3136
992,2176,2383
993,2177,3421
994,2178,2747
995,2179,2500
996,2182,3037
998,2185,3305
999,2186,2734
1000,2188,3311
1001,2189,3286
1002,2190,2495
1003,2194,3227
1004,2195,3357
1005,2196,3079
1006,2197,3522
1007,2199,3511
1008,2201,3441
1009,2202,3411
1010,2204,3446
1011,2207,2645
1012,2208,3225
1013,2209,3521
1015,2212,3323
1016,2213,3135
1017,2214,3459
1018,2216,3344
1019,2217,3468
1020,2218,3122
1021,2219,3065
1022,2220,3340
1024,2222,3556
1025,2223,3297
1026,2224,3354
1027,2225,3073
1028,2226,3339
1030,2229,3470
1031,2230,2563
1033,2232,2748
1035,2234,3550
1036,2235,2522
1038,2237,3525
1039,2238,3530
1040,2239,3528
1041,2241,3529
1042,2242,3257
1044,2245,3266
1047,2251,3407
1048,2252,3540
1050,2254,3508
1052,2256,2822
1056,2261,2621
1057,2263,2763
1058,2264,3552
1059,2265,3482
1060,2266,3201
1061,2267,3205
1062,2268,3211
1063,2269,3489
1064,2270,3490
1065,2271,3099
1067,2273,2750
1068,2274,2526
1069,2275,3503
1071,2277,3507
1072,2278,2646
1077,2284,2959
1079,2287,2968
1080,2288,2677
1086,2294,3328
1087,2295,3265
1088,2296,2703
1090,2298,3147
1092,2300,3271
1093,2301,3168
1095,2303,3469
1099,2308,3403
1100,2309,3541
1102,2311,3473
1103,2312,3004
1104,2313,3384
1106,2315,3413
1109,2319,3392
1110,2320,3171
1112,2322,2603
1114,2325,3451
1116,2327,3148
1117,2328,3156
1124,2335,3013
1128,2342,3523
1132,2346,3048
1135,2349,3299
1137,2351,3423
1138,2352,3380
1140,2355,3381
1141,2356,3347
1142,2357,2659
1143,2358,3382
1147,2363,3385
1150,2367,3069
1155,2372,3387
1156,2373,3355
1159,2376,3342
1161,2378,3491
1164,2382,3497
1166,2384,2656
1169,2388,3358
1171,2390,3393
1172,2391,2849
1173,2392,2663
1175,2395,2667
1178,2398,2872
1180,2400,3442
1182,2403,2869
1185,2407,3138
1187,2409,3532
1188,2410,3512
1191,2413,2593
1192,2414,3035
1194,2416,3390
1198,2420,3438
1200,2422,3502
1201,2423,3173
1202,2424,3496
1203,2425,2754
1204,2426,2578
1205,2427,3369
1208,2434,3053
1212,2439,3189
1213,2440,3586
1215,2443,3569
1220,2448,2888
1223,2455,3571
1224,2458,2737
1226,2464,3127
1228,2466,3245
1229,2468,3524
1233,2472,3401
1235,2474,3724
1237,2477,3186
1239,2480,2727
1256,2502,3180
1260,2506,3475
1264,2510,3278
1266,2512,3476
1271,2519,3504
1279,2527,3185
1280,2528,3405
1287,2538,2895
1288,2539,3472
1289,2540,3322
1295,2546,3114
1305,2557,3356
1312,2564,3175
1313,2565,3397
1322,2575,3144
1327,2580,3711
1329,2582,3732
1335,2588,3710
1336,2589,3659
1337,2590,3649
1338,2591,3664
1347,2600,2832
1361,2617,3188
1369,2626,3636
1399,2657,3391
1403,2662,3697
1405,2664,3682
1410,2669,3273
1412,2672,3333
1418,2681,3533
1424,2688,3336
1426,2690,3537
1429,2695,3450
1448,2717,3054
1449,2718,3289
1452,2722,3327
1455,2725,3293
1466,2738,3720
1485,2759,3290
1496,2774,3402
1510,2794,3070
1565,2853,3517
1571,2860,3404
1573,2862,3318
1575,2864,3113
1577,2866,3453
1578,2867,3465
1581,2871,3509
1584,2874,3513
1608,2900,3417
1620,2913,3416
1622,2916,3378
1634,2928,3176
1650,2944,3309
1656,2952,3432
1658,1943,2954
1664,2962,3247
1672,2970,3258
1683,2982,3363
1687,2986,3262
1696,2996,3431
1735,3044,3161
1811,3129,3312
1858,3178,3418
2066,2164,3429
2074,2599,3444
2079,1201,3449
2085,3455,3716
2088,1410,3462
2091,3196,3467
2102,1890,3481
2106,1978,3487
2111,3389,3492
2112,2471,3493
2117,1246,3498
2156,1966,3544
2159,3210,3554
2161,1848,3558
2162,1676,3563
2164,2271,3565
2166,1092,3567
2167,2627,3568
2169,2541,3570
2171,1974,3572
2172,3118,3574
2173,1161,3577
2174,3245,3578
2175,1846,3580
2176,1555,3581
2177,2651,3582
2178,2320,3583
2179,1090,3584
2181,1971,3590
2182,2539,3591
2183,2358,3592
2184,2512,3596
2185,2326,3598
2186,1528,3599
2187,2388,3601
2188,3406,3603
2189,2120,3604
2190,3404,3606
2191,2426,3607
2192,2782,3609
2193,2613,3612
2194,2363,3615
2196,3571,3618
2197,1983,3619
2198,3391,3620
2200,1829,3628
2201,1285,3630
2202,2987,3631
2203,2297,3632
2204,2375,3633
2207,2060,3647
2208,1889,3648
2211,3214,3653
2212,2389,3658
2215,1235,3662
2216,2854,3663
2218,2237,3665
2223,2681,3675
2224,2427,3676
